,territory,alpha3,first_day,units,paper,population,four_regions
0,Afghanistan,AFG,sat,metric,A4,39.07,asia
1,Aland Islands,ALA,mon,metric,A4,,
2,Albania,ALB,mon,metric,A4,2.87,europe
3,Algeria,DZA,sat,metric,A4,44.04,africa
4,American Samoa,ASM,sun,metric,A4,,
5,Andorra,AND,mon,metric,A4,0.08,europe
6,Angola,AGO,mon,metric,A4,33.45,africa
7,Anguilla,AIA,mon,metric,A4,,
8,Antarctica,ATA,mon,metric,A4,,
9,Antigua & Barbuda,ATG,sun,metric,A4,0.09,americas
10,Argentina,ARG,mon,metric,A4,45.19,americas
11,Armenia,ARM,mon,metric,A4,2.89,europe
12,Aruba,ABW,mon,metric,A4,,
13,Ascension Island,ASC,mon,metric,A4,,
14,Australia,AUS,mon,metric,A4,25.74,asia
15,Austria,AUT,mon,metric,A4,8.92,europe
16,Azerbaijan,AZE,mon,metric,A4,10.18,europe
17,Bahamas,BHS,sun,US,A4,0.4,americas
18,Bahrain,BHR,sat,metric,A4,1.48,asia
19,Bangladesh,BGD,sun,metric,A4,166.3,asia
20,Barbados,BRB,mon,metric,A4,0.28,americas
21,Belarus,BLR,mon,metric,A4,9.35,europe
22,Belgium,BEL,mon,metric,A4,11.54,europe
23,Belize,BLZ,sun,US,US-Letter,0.39,americas
24,Benin,BEN,mon,metric,A4,13.07,africa
25,Bermuda,BMU,mon,metric,A4,,
26,Bhutan,BTN,sun,metric,A4,0.77,asia
27,Bolivia,BOL,mon,metric,A4,11.82,americas
28,Bosnia & Herzegovina,BIH,mon,metric,A4,3.3,europe
29,Botswana,BWA,sun,metric,A4,2.37,africa
30,Bouvet Island,BVT,mon,metric,A4,,
31,Brazil,BRA,sun,metric,A4,208.66,americas
32,British Indian Ocean Territory,IOT,mon,metric,A4,,
33,British Virgin Islands,VGB,mon,metric,A4,,
34,Brunei,BRN,mon,metric,A4,0.45,asia
35,Bulgaria,BGR,mon,metric,A4,6.93,europe
36,Burkina Faso,BFA,mon,metric,A4,21.48,africa
37,Burundi,BDI,mon,metric,A4,12.62,africa
38,Cambodia,KHM,sun,metric,A4,16.73,asia
39,Cameroon,CMR,mon,metric,A4,26.21,africa
40,Canada,CAN,sun,metric,US-Letter,38.17,americas
41,Canary Islands,,mon,metric,A4,,
42,Cape Verde,CPV,mon,metric,A4,0.51,africa
43,Caribbean Netherlands,BES,mon,metric,A4,,
44,Cayman Islands,CYM,mon,US,A4,,
45,Central African Republic,CAF,mon,metric,A4,5.03,africa
46,Ceuta & Melilla,,mon,metric,A4,,
47,Chad,TCD,mon,metric,A4,17.22,africa
48,Chile,CHL,mon,metric,US-Letter,19.37,americas
49,China,CHN,mon,metric,A4,1426.11,asia
